refrigerant,Temperature_K,Pressure_MPa,Phase,Phase_encoded,mol_weight,Tc_K,Pc_MPa,acentric,GWP,type,Tr,Pr,Density_kg_m3,Enthalpy_kJ_kg,Entropy_J_gK,Cp_J_gK
R123,412.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9018672153755226,0.02730748225013654,4.5262,481.49,1.8984,0.79943
R123,414.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9062452115666659,0.02730748225013654,4.5033,483.09,1.9023,0.80115
R123,416.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9106232077578092,0.02730748225013654,4.4806,484.7,1.9061,0.80286
R123,418.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9150012039489526,0.02730748225013654,4.4582,486.31,1.91,0.80457
R123,420.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9193792001400959,0.02730748225013654,4.436,487.92,1.9138,0.80627
R123,422.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9237571963312392,0.02730748225013654,4.414,489.53,1.9177,0.80797
R123,424.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9281351925223825,0.02730748225013654,4.3922,491.15,1.9215,0.80966
R123,426.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9325131887135258,0.02730748225013654,4.3707,492.77,1.9253,0.81134
R123,428.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9368911849046692,0.02730748225013654,4.3494,494.39,1.9291,0.81302
R123,430.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9412691810958125,0.02730748225013654,4.3283,496.02,1.9329,0.81469
R123,432.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9456471772869558,0.02730748225013654,4.3075,497.65,1.9367,0.81636
R123,434.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9500251734780991,0.02730748225013654,4.2868,499.29,1.9405,0.81802
R123,436.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9544031696692424,0.02730748225013654,4.2663,500.92,1.9442,0.81967
R123,438.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9587811658603858,0.02730748225013654,4.2461,502.57,1.948,0.82132
R123,440.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9631591620515291,0.02730748225013654,4.226,504.21,1.9517,0.82297
R123,442.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9675371582426724,0.02730748225013654,4.2062,505.86,1.9555,0.82461
R123,444.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9719151544338157,0.02730748225013654,4.1865,507.51,1.9592,0.82624
R123,446.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.976293150624959,0.02730748225013654,4.167,509.16,1.9629,0.82786
R123,448.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9806711468161023,0.02730748225013654,4.1477,510.82,1.9666,0.82948
R123,450.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9850491430072457,0.02730748225013654,4.1286,512.48,1.9703,0.8311
R123,452.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.989427139198389,0.02730748225013654,4.1097,514.14,1.974,0.83271
R123,454.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9938051353895322,0.02730748225013654,4.091,515.81,1.9777,0.83431
R123,456.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,0.9981831315806755,0.02730748225013654,4.0724,517.48,1.9813,0.83591
